Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
1,0.2752198576927185,0.3913043439388275,1.561729073524475,1.4106659889221191
2,0.39420589804649353,0.48033127188682556,1.4200783967971802,1.2857762575149536
3,0.4816347658634186,0.542443037033081,1.301844835281372,1.1253503561019897
4,0.536989152431488,0.5859213471412659,1.1764508485794067,1.0366135835647583
5,0.56802898645401,0.5838509202003479,1.0946370363235474,0.9988704323768616
6,0.598034143447876,0.5631470084190369,1.0164381265640259,1.1165472269058228
7,0.5876875519752502,0.5859213471412659,1.0010429620742798,1.0931509733200073
8,0.6130367517471313,0.6666666865348816,0.9583119750022888,0.898297905921936
9,0.6523538827896118,0.6314699649810791,0.8808001279830933,0.9224434494972229
10,0.6782203912734985,0.5838509202003479,0.8470993638038635,0.9944419860839844
11,0.6673564314842224,0.6418219208717346,0.8405203819274902,0.8510705828666687
12,0.6782203912734985,0.5942028760910034,0.8217946887016296,0.9599822759628296
13,0.7061562538146973,0.6687370538711548,0.7599044442176819,0.8283289074897766
14,0.7201241850852966,0.6770186424255371,0.7610321640968323,0.8030481934547424
15,0.7397827506065369,0.7101449370384216,0.7048900127410889,0.74070805311203
16,0.7527160048484802,0.693581759929657,0.6879355311393738,0.8744623064994812
17,0.7439213395118713,0.7432712316513062,0.669761598110199,0.6798446774482727
18,0.7651318907737732,0.739130437374115,0.6592116951942444,0.6288819909095764
19,0.7661665678024292,0.6501035094261169,0.62809818983078,0.9269720315933228
20,0.7682359218597412,0.7412008047103882,0.6518657803535461,0.6918950080871582
